2025/09/24 08:30:12 [error] 19884#20680: *7084 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/pages?context=edit&per_page=100&_fields=id%2Clink%2Cmenu_order%2Cparent%2Ctitle%2Ctype&orderby=menu_order&order=asc&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10008", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Ftemplate"
2025/09/25 02:51:59 [error] 6072#23772: *13416 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "OPTIONS /wp-json/wp/v2/navigation?_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10008", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fpage%2F2&canvas=edit"
2025/09/25 02:51:59 [error] 6072#23772: *13416 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "OPTIONS /wp-json/wp/v2/navigation?_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fpage%2F2&canvas=edit"
2025/09/25 02:51:59 [error] 6072#23772: *13421 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/navigation?context=edit&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fpage%2F2&canvas=edit"
2025/09/25 02:52:03 [error] 6072#23772: *13422 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "OPTIONS /wp-json/wp/v2/blocks?_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fpage%2F2&canvas=edit"
2025/09/25 02:52:06 [error] 6072#23772: *13423 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "OPTIONS /wp-json/wp/v2/pages/?context=edit&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fpage%2F2&canvas=edit"
2025/09/25 02:52:06 [error] 6072#23772: *13424 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/blocks?context=edit&per_page=100&page=1&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fpage%2F2&canvas=edit"
2025/09/25 12:57:05 [error] 6072#23772: *19111 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/pages/2/autosaves?context=edit&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10008", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fpage%2F2&canvas=edit"
2025/09/25 12:57:05 [error] 6072#23772: *19123 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/template-parts/twentytwentyfive//footer?context=edit&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10008", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fpage%2F2&canvas=edit"
2025/09/25 12:57:05 [error] 6072#23772: *19114 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/users?context=view&who=authors&per_page=100&_fields=id%2Cname&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10008", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fpage%2F2&canvas=edit"
2025/09/25 12:57:05 [error] 6072#23772: *19117 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/taxonomies?context=edit&per_page=100&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10009", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fpage%2F2&canvas=edit"
2025/09/25 12:57:05 [error] 6072#23772: *19117 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/taxonomies?context=edit&per_page=100&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fpage%2F2&canvas=edit"
2025/09/25 12:57:05 [error] 6072#23772: *19119 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/wp_pattern_category?context=view&per_page=100&_fields=id%2Cname%2Cdescription%2Cslug&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10008", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fpage%2F2&canvas=edit"
2025/09/25 12:57:05 [error] 6072#23772: *19119 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/wp_pattern_category?context=view&per_page=100&_fields=id%2Cname%2Cdescription%2Cslug&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fpage%2F2&canvas=edit"
2025/09/25 12:57:05 [error] 6072#23772: *19121 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/template-parts/twentytwentyfive//header-benjamin?context=edit&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10009", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fpage%2F2&canvas=edit"
2025/09/25 12:57:05 [error] 6072#23772: *19121 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/template-parts/twentytwentyfive//header-benjamin?context=edit&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fpage%2F2&canvas=edit"
2025/09/25 12:57:05 [error] 6072#23772: *19128 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "OPTIONS /wp-json/wp/v2/template-parts/twentytwentyfive//header-benjamin?_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fpage%2F2&canvas=edit"
2025/09/25 12:57:07 [error] 6072#23772: *19129 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/users/1?context=view&_fields=id%2Cname&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fpage%2F2&canvas=edit"
2025/09/25 12:57:07 [error] 6072#23772: *19130 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/menus?context=view&per_page=100&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fpage%2F2&canvas=edit"
2025/09/25 12:57:07 [error] 6072#23772: *19131 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/pages?context=view&parent=0&order=asc&orderby=id&per_page=100&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fpage%2F2&canvas=edit"
2025/09/25 12:57:07 [error] 6072#23772: *19132 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "OPTIONS /wp-json/wp/v2/navigation?_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fpage%2F2&canvas=edit"
2025/09/29 15:08:11 [crit] 32288#18532: *5950 CreateFile() "C:/Users/benja/Local Sites/kaizenstudio-dev/app/public/wp-content/plugins/C:/Users/benja/Local Sites/kaizenstudio-dev/app/public/wp-content/themes/twentytwentyfive/myguten.js" failed (123: The filename, directory name, or volume label syntax is incorrect), client: 127.0.0.1, server: , request: "GET /wp-content/plugins/C:/Users/benja/Local%20Sites/kaizenstudio-dev/app/public/wp-content/themes/twentytwentyfive/myguten.js?ver=6.8.2 HTTP/1.1", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2F&canvas=edit"
2025/09/29 15:09:02 [crit] 32288#18532: *6110 CreateFile() "C:/Users/benja/Local Sites/kaizenstudio-dev/app/public/wp-content/plugins/C:/Users/benja/Local Sites/kaizenstudio-dev/app/public/wp-content/themes/twentytwentyfive/myguten.js" failed (123: The filename, directory name, or volume label syntax is incorrect), client: 127.0.0.1, server: , request: "GET /wp-content/plugins/C:/Users/benja/Local%20Sites/kaizenstudio-dev/app/public/wp-content/themes/twentytwentyfive/myguten.js?ver=6.8.2 HTTP/1.1", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2F&canvas=edit"
2025/09/29 15:09:20 [crit] 32288#18532: *6256 CreateFile() "C:/Users/benja/Local Sites/kaizenstudio-dev/app/public/wp-content/plugins/C:/Users/benja/Local Sites/kaizenstudio-dev/app/public/wp-content/themes/twentytwentyfive/myguten.js" failed (123: The filename, directory name, or volume label syntax is incorrect), client: 127.0.0.1, server: , request: "GET /wp-content/plugins/C:/Users/benja/Local%20Sites/kaizenstudio-dev/app/public/wp-content/themes/twentytwentyfive/myguten.js?ver=6.8.2 HTTP/1.1", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2F&canvas=edit"
2025/09/29 15:12:33 [crit] 32288#18532: *6428 CreateFile() "C:/Users/benja/Local Sites/kaizenstudio-dev/app/public/wp-content/plugins/C:/Users/benja/Local Sites/kaizenstudio-dev/app/public/wp-content/themes/twentytwentyfive/myguten.js" failed (123: The filename, directory name, or volume label syntax is incorrect), client: 127.0.0.1, server: , request: "GET /wp-content/plugins/C:/Users/benja/Local%20Sites/kaizenstudio-dev/app/public/wp-content/themes/twentytwentyfive/myguten.js?ver=6.8.2 HTTP/1.1", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2F&canvas=edit"
2025/09/29 15:21:09 [error] 32288#18532: *7368 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/load-scripts.php?c=0&load%5Bchunk_0%5D=jquery-core,jquery-migrate,utils,wp-dom-ready,wp-hooks&ver=6.8.2 HTTP/1.1", upstream: "fastcgi://127.0.0.1:10008", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2F&canvas=edit"
2025/09/29 21:31:45 [error] 32288#18532: *22484 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/taxonomies?context=view&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10009", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fpattern&postType=wp_block&categoryId=themeslug-custom"
2025/10/01 14:10:20 [error] 12696#42364: *9174 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/blocks?context=edit&per_page=100&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10008", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fpattern&postType=wp_template_part&categoryId=hero-section-benjamin"
2025/10/01 14:10:20 [error] 12696#42364: *9187 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "OPTIONS /wp-json/wp/v2/navigation?_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10008", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fpattern&postType=wp_template_part&categoryId=hero-section-benjamin"
2025/10/01 14:10:20 [error] 12696#42364: *9183 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/menus?context=view&per_page=100&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10008", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fpattern&postType=wp_template_part&categoryId=hero-section-benjamin"
2025/10/01 14:10:21 [error] 12696#42364: *9177 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/taxonomies?context=view&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10009", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fpattern&postType=wp_template_part&categoryId=hero-section-benjamin"
2025/10/01 14:10:21 [error] 12696#42364: *9177 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/taxonomies?context=view&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fpattern&postType=wp_template_part&categoryId=hero-section-benjamin"
2025/10/01 14:10:21 [error] 12696#42364: *9183 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/menus?context=view&per_page=100&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10009", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fpattern&postType=wp_template_part&categoryId=hero-section-benjamin"
2025/10/01 14:10:21 [error] 12696#42364: *9174 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/blocks?context=edit&per_page=100&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10009", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fpattern&postType=wp_template_part&categoryId=hero-section-benjamin"
2025/10/01 14:10:21 [error] 12696#42364: *9187 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "OPTIONS /wp-json/wp/v2/navigation?_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10009", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fpattern&postType=wp_template_part&categoryId=hero-section-benjamin"
2025/10/01 14:10:21 [error] 12696#42364: *9184 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/pages?context=view&parent=0&order=asc&orderby=id&per_page=100&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10009", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fpattern&postType=wp_template_part&categoryId=hero-section-benjamin"
2025/10/01 14:10:21 [error] 12696#42364: *9184 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/pages?context=view&parent=0&order=asc&orderby=id&per_page=100&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fpattern&postType=wp_template_part&categoryId=hero-section-benjamin"
2025/10/01 14:10:21 [error] 12696#42364: *9189 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp-block-editor/v1/navigation-fallback?_embed=true&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10009", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fpattern&postType=wp_template_part&categoryId=hero-section-benjamin"
2025/10/01 14:10:21 [error] 12696#42364: *9189 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp-block-editor/v1/navigation-fallback?_embed=true&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fpattern&postType=wp_template_part&categoryId=hero-section-benjamin"
2025/10/01 14:10:21 [error] 12696#42364: *9194 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/navigation?context=edit&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fpattern&postType=wp_template_part&categoryId=hero-section-benjamin"
2025/10/09 11:44:25 [error] 12696#42364: *17559 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/pages?context=view&parent=0&order=asc&orderby=id&per_page=100&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10009", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fpattern&postType=wp_template_part"
2025/10/09 11:44:25 [error] 12696#42364: *17564 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp-block-editor/v1/navigation-fallback?_embed=true&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10009", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fpattern&postType=wp_template_part"
2025/10/20 13:18:27 [error] 12696#42364: *25908 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/types/page?context=edit&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10008", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fstyles&section=%2Fvariations&canvas=edit"
2025/10/20 13:18:27 [error] 12696#42364: *25913 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/wp_pattern_category?context=view&per_page=100&_fields=id%2Cname%2Cdescription%2Cslug&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10008", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fstyles&section=%2Fvariations&canvas=edit"
2025/10/21 10:41:32 [error] 12696#42364: *32469 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/pages/2?context=edit&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10009", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fstyles&section=%2Ftypography%2Flink&canvas=edit"
2025/10/21 10:41:32 [error] 12696#42364: *32469 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/pages/2?context=edit&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10008", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fstyles&section=%2Ftypography%2Flink&canvas=edit"
2025/10/22 00:07:55 [error] 12696#42364: *38755 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://127.0.0.1:10008", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fstyles&section=%2Fblocks%2Fcore%252Fbutton&preview=stylebook"
2025/10/27 16:28:26 [error] 12696#42364: *45822 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/taxonomies?context=view&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10009", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fwp_template_part%2Fkaizenstudio-dev-child%2F%2Fheader-benjamin&canvas=edit"
2025/10/27 16:28:26 [error] 12696#42364: *45830 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/block-patterns/patterns?_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10009", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fwp_template_part%2Fkaizenstudio-dev-child%2F%2Fheader-benjamin&canvas=edit"
2025/10/27 16:28:26 [error] 12696#42364: *45838 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/menus?context=view&per_page=100&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10009", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fwp_template_part%2Fkaizenstudio-dev-child%2F%2Fheader-benjamin&canvas=edit"
2025/10/27 16:28:26 [error] 12696#42364: *45834 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "OPTIONS /wp-json/wp/v2/template-parts?_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10009", host: "kaizenstudio-dev.local", referrer: "http://kaizenstudio-dev.local/wp-admin/site-editor.php?p=%2Fwp_template_part%2Fkaizenstudio-dev-child%2F%2Fheader-benjamin&canvas=edit"
